Sno, songs,singer,lyrics,emotion
11,brown rang,Yo Yo Honey Singh,"Kudiye ni tere, brown rang ne.

Munde patt te ni saare mere town de

Kudiye ni tere, brown rang ne.

Munde patt te ni saare mere town de

Koi kam utte jaave na

Roti paani khaave na

Gori gori kudiya nu

Koi muh laave na (x2)

Kudiye ni tere brown rang ne

Munde patt te ni saare mere town de...
Mere town de, mere town de, mere town de ni billo

Mere town de...

Mere town de, mere town de...

Excuse me miss...

Kiss kiss kiss

Kis se tu bhaage gi hun bach bach ke

Tenu rabb ne husan ditta raj raj ke

Mai kiha kaali Teri Gucci te Prada tera laal

Kitthe challe o soniyo saj dhaj ke ke...

Tere vargi naar ni huni mainu munde kehnde si

Ho gye ni tere charche star news to BBC

Brown brown skin vaali let me tell you one thing

Rabb di sauhn you're so sexy

Kudiye ni tere brown rang ne

Munde patt te ni saare mere town de

Koi kam utte jaave na

Roti paani khaave na

Gori gori kudiya nu

Koi muh laave na

Kudiye ni tere brown rang ne

Munde patt te ni saare mere town de...

Mere town de, mere town de, mere town de ni billo

Mere town de

Urre aa tenu ek gal samjaava

Maare purze nu kadi hath mai na paava aa

Vase ta mitran da bahut vadda score

But white chicks na I don't like them anymore

Ban mitran di whore

I mean mitran di ho

Tu vi tedha tedha takkein saanu.

I know...

Now don't say no no.

Mai ta tera yo yo..

Tu haan ta kar saambh lu mai tera pyo hoye.

Kudie ni tere brown rang ne

Munde patt te ni saare mere town de

Koi kam utte jaave na

Roti paani khaave na

Gori gori kudiya nu koi muh laave na.

Koi kam utte jaave na

Roti paani khaave na

Gori gori kudiya nu koi muh laave na.

Kudiye ni tere brown rang ne

Munde patt te ni saare mere town de...

Koi kam utte jaave na

Roti paani khaave na

Gori gori kudiya nu koi muh laave na.

Yo yo honey Singh (x2)",
12,love dose ,Yo Yo Honey Singh,"Lagdi mainu jivein ambraan di queen
Meethiyan gallan kare, kudi namkeen

Lagdi mainu jiven ambraan di queen
Meethiyan gallan kare, kudi namkeen
Lagdi mainu jiven ambraan di queen
Meethiyan gallan kare, kudi namkeen

Patla ja lakk tera, lakk nu sambhal ni
One in the million lagdi kamaal ni
Patla ja lakk tera lakk nu sambhal ni
One in the million lagdi kamaal ni
Lagdi kamaal ni lagdi kamaal ni
Hoya bura haal ni, hoya bura haal ni

Tu aaja mere close
Milta na mauka roz
I want you my baby
Mujhe de de love dose (x2)

Yeah!
Lagdi mainu jiven ambraan di queen
Meethiyan gallan kare, kudi namkeen
Lagdi mainu jiven ambraan di queen
Meethiyan gallan kare, kudi namkeen

(Honey Singh Rap)
Ye chand sa roshan chehra
Baalon ka rang sunehara
Kaise dekhun teri aankhen

Aankhon pe chashme ka pehra (x2)

Iss chashme ko hata do
Aankhon ko mila lo
Aankhon ke nashile jaam
Aankhon se pila do
Lagta hum pehle mile
Ya ho mujhe Déjà vu
Idhar udhar kahan dekhe
Girl I'm talking to you
Ab aankhon se hataya chashma
Aakhein to milaao ji
Duniya waale jo bhi bole
Humse na sharmaao ji
Ab phone utthaao ji
Aur daddy ki millo ji
Unke future son-in-law
ki baat unse karwaao ji
""Hello, Uncle, namaste""
Chalo kaam ki baat pe aatein hain
Ab aap ye puchhenge ki
Aap kitne paise kamate hain?
Bas jitna aapki beti
Ek mahine mein udati hai
Ek hafte me meri gaadi
utna tel khaati hai
Hai ghar, hai paisa, hai gaadi
Ab do jodon mein ladki bhejo
Ladki hui hamaari
Uncle hai ghar, hai paisa, hai gaadi
Ab do jodon mein ladki bhejo
Ladki hui humaari, OK Bye.

Lagdi ai mainu jiven ambraan di queen
Meethiyan gallan kare, kudi namkeen (x4)",
13,Bewafa,imran khan ,,
14,Amplifier,imran khan ,,
15,Satisfya,imran khan ,,
16,Illuminati,Sushin Shyam | Dabzee | Vinayak Sasikumar,,
17,Armadham,Jithu Madhavan |Fahadh Faasil | Sushin Shyam | Vinayak| Nazriya| Anwar Rasheed,,
18,Vaathi Coming,Anirudh Ravichander | Lokesh Kanagaraj,,
19,Arabic Kuthu,Nelson | Anirudh,,
20,Hale Dil Tujhko Sunata,Emraan Hashmi,,
21,Kaho Na Kaho,Emraan Hashmi,,
22,Rowdy Baby,Yuvan Shankar Raja | Balaji Mohan,,
23,Jimikki Ponnu,Thaman S | Vamshi Paidipally,,
24,Ranjithame,Vamshi Paidipally | Thaman S,,
25,Naa Ready,Lokesh Kanagaraj | Anirudh Ravichander,,
26,Thee Thalapathy,STR | Vamshi Paidipally | Thaman,,
27,Badass,Anirudh Ravichander,,
28,Ordinary Person,Anirudh Ravichander,,
29,Aasa Kooda,Sai Abhyankkar,,
30,Katchi Sera,Sai Abhyankkar,,
31,Why This Kolaveri Di,Dhanush | Anirudh Ravichander,,
32,Kurchi Madathapetti,Guntur Kaaram | Mahesh Babu | Sreeleela | Trivikram | Thaman S,,
33,Ramuloo Ramulaa,Trivikram || Thaman S,,
34,ButtaBomma, Thaman S | Armaan Malik,,
35,Srivalli,Javed Ali | DSP | Sukumar,,
36,Oo Antava Mawa..Oo Oo Antava,DSP |Sukumar,,
37,Inkem Inkem,Gopi Sundar,,
38,Yenti Yenti,Gopi Sundar,,
39,Darshana, Pranav | Darshana | Vineeth | Hesham | Merryland,,
40,Maate Vinadhuga,Sid Sriram,,
41,Pottu Thotta Pournami,Pranav |Kalyani |Hesham |Sachin |Megha |Kaithapram,,
